SQLDATE,avg_goldstein,avg_tone,nb_evenements,nb_mentions,nb_sources,nb_articles,nb_conflits,crisis_rate,theme_crisis,theme_election,theme_economy,theme_security,theme_count,actor1_is_gov,actor1_is_mil,actor1_is_intl,actor1_is_civil,actor2_is_gov,actor2_is_mil,actor2_is_intl,actor2_is_civil,dayofweek,month,quarter,is_weekend,day_of_year,dow_sin,dow_cos,crisis_day,conflit_detect,roll_3d_goldstein,roll_7d_goldstein,roll_14d_goldstein,roll_3d_tone,roll_7d_tone,roll_14d_tone,roll_7d_events,goldstein_lag1,tone_lag1,crisis_lag1,media_pressure
2025-01-02,0.48124999999999996,-2.910947427857421,16,117,16,117,4,0.25,0.6875,0.6875,0.5625,0.5625,32.6875,0.25,0.0625,0.25,0.0625,0.25,0.0625,0.5625,0.0,3,1,1,0,2,0.43388373911755823,-0.900968867902419,0,0,-0.35285326086956526,-0.35285326086956526,-0.35285326086956526,-3.364005723675497,-3.364005723675497,-3.364005723675497,39.0,-1.1869565217391305,-3.8170640194935728,0.0,6.882352941176471
2025-01-03,1.1692307692307693,-0.7862024113998047,13,92,13,92,3,0.23076923076923078,0.6923076923076923,0.6153846153846154,0.5384615384615384,0.7692307692307693,29.615384615384617,0.6153846153846154,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.5384615384615384,0.23076923076923078,4,1,1,0,3,-0.433883739117558,-0.9009688679024191,0,0,0.15450808249721293,0.15450808249721293,0.15450808249721293,-2.504737952916933,-2.504737952916933,-2.504737952916933,52.0,0.48124999999999996,-2.910947427857421,0.0,6.571428571428571
2025-01-04,2.8333333333333335,0.6167418897085301,6,28,6,28,2,0.3333333333333333,0.5,0.16666666666666666,1.0,0.3333333333333333,39.833333333333336,0.3333333333333333,0.0,0.6666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,5,1,1,1,4,-0.9749279121818236,-0.2225209339563146,0,0,1.494604700854701,0.8242143952062431,0.8242143952062431,-1.0268026498495653,-1.7243679922605673,-1.7243679922605673,58.0,1.1692307692307693,-0.7862024113998047,0.0,4.0
2025-01-05,1.7333333333333334,3.05091789283849,6,29,6,27,0,0.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,25.666666666666668,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6,1,1,1,5,-0.7818314824680299,0.6234898018587334,0,0,1.911965811965812,1.0060381828316611,1.0060381828316611,0.9604857903824051,-0.7693108152407557,-0.7693108152407557,64.0,2.8333333333333335,0.6167418897085301,0.0,4.142857142857143
2025-01-06,1.161111111111111,0.07640313836088383,18,165,18,160,5,0.2777777777777778,0.6111111111111112,0.6666666666666666,0.5555555555555556,0.3333333333333333,35.833333333333336,0.5,0.0,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.0,0,1,1,0,6,0.0,1.0,0,0,1.9092592592592592,1.0318836708782362,1.0318836708782362,1.248020973635968,-0.6283584896404825,-0.6283584896404825,82.0,1.7333333333333334,3.05091789283849,0.0,8.68421052631579
2025-01-07,3.2470588235294113,2.5139303039563488,17,129,17,129,1,0.058823529411764705,0.4117647058823529,0.5294117647058824,0.5882352941176471,0.29411764705882354,50.8235294117647,0.23529411764705882,0.0,0.4117647058823529,0.058823529411764705,0.29411764705882354,0.0,0.47058823529411764,0.058823529411764705,1,1,1,0,7,0.7818314824680298,0.6234898018587336,0,0,2.047167755991285,1.3483372641141183,1.3483372641141183,1.8804171117185742,-0.17946009055522089,-0.17946009055522089,99.0,1.161111111111111,0.07640313836088383,0.0,7.166666666666667
2025-01-08,1.9735294117647058,0.1827896950621523,34,214,34,204,3,0.08823529411764706,0.7058823529411765,0.5588235294117647,0.7058823529411765,0.5294117647058824,32.8235294117647,0.3235294117647059,0.029411764705882353,0.23529411764705882,0.08823529411764706,0.3235294117647059,0.0,0.38235294117647056,0.029411764705882353,2,1,1,0,8,0.9749279121818236,-0.22252093395631434,0,0,2.1272331154684094,1.7998352546146663,1.4264862825704416,0.9243743791264616,0.39194758295273985,-0.13417886735304924,110.0,3.2470588235294113,2.5139303039563488,0.0,6.114285714285714
2025-01-09,0.3612244897959184,-2.1781389850175037,49,418,51,388,14,0.2857142857142857,0.8163265306122449,0.30612244897959184,0.46938775510204084,0.5510204081632653,32.30612244897959,0.3673469387755102,0.061224489795918366,0.22448979591836735,0.02040816326530612,0.40816326530612246,0.0,0.32653061224489793,0.0,3,1,1,0,9,0.43388373911755823,-0.900968867902419,0,0,1.8606042416966788,1.7826887531569404,1.3081238611510502,0.1728603380003325,0.4966345033584423,-0.36128554709354416,143.0,1.9735294117647058,0.1827896950621523,0.0,8.038461538461538
2025-01-10,-1.3862068965517242,-3.910703961706895,58,452,58,434,23,0.39655172413793105,0.8275862068965517,0.5517241379310345,0.29310344827586204,0.6896551724137931,37.60344827586207,0.22413793103448276,0.1724137931034483,0.15517241379310345,0.034482758620689655,0.20689655172413793,0.10344827586206896,0.4482758620689655,0.034482758620689655,4,1,1,0,10,-0.433883739117558,-0.9009688679024191,0,0,0.31618233500296666,1.417626229473727,1.0386907853807728,-1.968684417220749,0.050277139028858046,-0.7162273885548792,188.0,0.3612244897959184,-2.1781389850175037,0.0,7.661016949152542
2025-01-11,0.3130434782608696,-1.123671819625157,23,161,23,161,5,0.21739130434782608,0.7391304347826086,0.43478260869565216,0.17391304347826086,0.5217391304347826,31.0,0.4782608695652174,0.0,0.13043478260869565,0.043478260869565216,0.43478260869565216,0.043478260869565216,0.43478260869565216,0.0,5,1,1,1,11,-0.9749279121818236,-0.2225209339563146,0,0,-0.23731297616497873,1.0575848216062322,0.9727228483698724,-2.404171588783185,-0.1983533908759544,-0.75326779137945,205.0,-1.3862068965517242,-3.910703961706895,0.0,6.708333333333333
